JapneseName,EnglishName,TotalRating,NearstStation,FoodCategory,PhoneNumber,LunchRating,DinnerRating,ReviewCounts,Dishes,Service,Atmosphere,Cost performance,Drink
草喰 なかひがし,Soujiki Nakahigashi,4.69,Mototanaka,Kyoto Cuisine,+81-75-752-3500,4.61,4.63,336,4.69,4.45,4.42,4.37,3.85
未在,Mizai,4.65,Higashiyama,Kaiseki (Traditional Japanese),+81-75-551-3310,4.65,3.56,174,4.63,4.57,4.79,4.40,4.37
にくの匠 三芳,Miyoshi,4.64,Gion Shijo,Beef dishes,+81-75-561-2508,4.65,-,206,4.66,4.45,4.32,4.27,4.22
飯田,Iida,4.61,Kyoto Shiyakusho,Kaiseki (Traditional Japanese),+81-75-231-6355,4.61,-,60,4.59,4.55,4.49,4.17,4.18
緒方,Ogata,4.56,Shijo,Kaiseki (Traditional Japanese),+81-75-344-8000,4.55,3.78,155,4.56,4.29,4.47,4.28,4.10
旬席 鈴江,Suzue,4.56,Higashiyama,Kappo (Traditional Japanese),+81-75-771-7777,4.57,3.06,72,4.58,4.31,4.22,3.86,4.30
やまぐち,Yamaguchi,4.54,Gion Shijo,Italian,+81-75-708-7183,4.45,4.41,73,4.55,4.49,4.35,4.34,4.17
齋華,Saika,4.54,Tofukuji,Chinese,+81-75-201-3239,4.25,4.62,51,4.54,4.36,4.79,4.28,4.28
前田,Maeda,4.54,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-525-5577,4.53,-,41,4.53,4.34,4.31,4.15,4.03
富小路 やま岸,Yamagishi,4.50,Kawaramachi,Kaiseki (Traditional Japanese),+81-75-708-7865,4.51,3.99,71,4.48,4.52,4.49,4.48,4.07
竹屋町 三多,Mita,4.49,Jingu Marutamach,Kaiseki (Traditional Japanese),+81-75-231-3556,4.48,-,55,4.50,4.66,4.46,4.12,4.26
啐啄 つか本,Sottaku Tsukamoto,4.44,Gion Shijo,Kappo (Traditional Japanese),+81-75-525-8808,4.44,-,33,4.44,4.33,4.26,4.18,3.94
御料理 はやし,Hayashi,4.41,Demachiyanagi,Kyoto Cuisine,+81-75-213-4409,4.45,4.25,149,4.44,3.96,4.18,4.09,3.66
美山荘,Miyamasou,4.39,Northern Part,Kaiseki (Traditional Japanese),+81-75-746-0231,4.15,4.32,87,4.39,4.49,4.51,3.96,3.91
にしぶち飯店,Nishibuchi Hanten,4.39,Gion Shijo,Chinese,+81-75-561-1650,4.38,-,58,4.39,4.09,4.28,4.11,4.06
