JapneseName,EnglishName,TotalRating,NearstStation,FoodCategory,LunchRating,DinnerRating,ReviewCounts,Dishes,Service,Atmosphere,Cost performance,Drink
松川,Matsukawa,4.91,Roppongi Itchome,Kappo (Traditional Japanese),4.83,4.89,184,4.91,4.58,4.74,4.33,4.32
鮨 さいとう,Saito,4.89,Roppongi Itchome,Sushi,4.80,4.86,444,4.88,4.70,4.59,4.70,4.43
銀座 しのはら,Shinohara,4.89,Ginza Itchome,Kaiseki (Traditional Japanese),4.88,4.36,214,4.84,4.72,4.56,4.47,4.31
日本橋蛎殻町 すぎた,Sugita,4.83,Suitengumae,Sushi,4.78,4.80,169,4.81,4.80,4.74,4.52,4.29
カンテサンス,Quintessence,4.78,Kitashinagawa,Modern French,4.77,4.51,359,4.76,4.64,4.65,4.33,4.46
エクアトゥール,Restaurant l'equateur,4.75,Azabu Juban,French,4.74,4.62,198,4.75,4.61,4.68,4.66,4.54
京味,Kyoaji,4.74,Shimbashi,Kyoto Cuisine,4.76,4.52,214,4.72,4.58,4.51,4.09,3.86
SUGALABO,SUGALABO,4.71,Kamiyacho,"Innovative cuisine, Fusion cuisine",4.74,-,159,4.75,4.54,4.56,4.00,4.35
ペレグリーノ,PELLEGRINO,4.66,Hiro o,Italian,4.65,-,49,4.65,4.14,4.39,4.43,4.42
レフェルヴェソンス,L'Effervescence,4.64,Omote Sando,French,4.49,4.65,641,4.63,4.66,4.93,4.24,4.42
鮨 はしぐち,Hashiguchi,4.64,Akasaka Mitsuke,Sushi,4.63,-,90,4.68,3.79,4.34,3.89,3.59
長谷川 稔,Hasegawaminoru,4.63,Hiro o,"Innovative cuisine, Fusion cuisine",4.61,3.66,55,4.67,4.32,4.32,4.35,4.50
フルタ,Furuta,4.62,Shintomicho,Chinese,4.61,-,57,4.62,4.16,4.11,4.04,3.84
CHIUnE,CHIUnE,4.60,Shintomicho,"Innovative cuisine, Fusion cuisine",4.55,4.33,93,4.64,4.47,4.50,3.64,4.36
と村,Tomura,4.60,Toranomon,Kyoto Cuisine,4.62,3.09,88,4.60,4.22,4.26,3.85,3.92
味満ん,Ajiman,4.60,Roppongi,Fugu (Blowfish),4.59,-,77,4.59,4.16,3.60,3.60,3.68
茶禅華,Sazenka,4.59,Hiro o,Chinese,4.60,4.42,124,4.59,4.42,4.63,3.87,4.47
虎白,Kohaku,4.58,Iidabashi,Kaiseki (Traditional Japanese),4.57,-,251,4.58,4.57,4.49,4.29,4.29
SATOブリアン にごう,SATO Buriand,4.58,Asagaya,Yakiniku (BBQ Beef),4.59,3.55,247,4.58,4.38,3.71,4.58,3.84
趙楊,Choyo,4.58,Shimbashi,Chinese,4.58,-,87,4.59,4.00,3.71,4.24,3.80
鳥しき,Torishiki,4.57,Meguro,Yakitori (Grilled chicken),4.56,3.15,488,4.57,4.33,4.17,4.52,3.83
三谷,Mitani,4.57,Yotsuya,Sushi,4.44,4.62,159,4.55,4.60,4.64,4.26,4.60
かぶと,Kabuto,4.56,Ikebukuro,Unagi (Freshwater eel),4.55,3.04,395,4.58,3.98,3.67,4.02,4.01
エスキス,ESqUISSE,4.56,Ginza,French,4.43,4.45,337,4.56,4.49,4.29,4.08,4.32
AZUR et MASA UEKI,AZUR et MASA UEKI,4.53,Nogizaka,French,4.52,-,36,4.50,4.65,4.66,4.35,4.39
USHIGORO S. GINZA,USHIGORO S,4.53,Ginza,Yakiniku (BBQ Beef),4.52,-,31,4.53,4.54,4.27,4.33,4.37
東麻布 天本,Amamoto,4.51,Akabanebashi,Sushi,4.52,-,134,4.49,4.79,4.58,4.48,4.48
もりかわ,Morikawa,4.51,Akasaka,Kappo (Traditional Japanese),4.51,4.47,67,4.55,4.29,4.32,4.04,4.14
ガストロノミー ジョエル・ロブション,Joel Robuchon,4.50,Ebisu,French,4.45,4.37,811,4.52,4.57,4.82,3.66,4.21
蕃 YORONIKU,EBISU YORONIKU,4.49,Ebisu,Yakiniku (BBQ Beef),4.48,3.06,136,4.49,4.58,3.92,4.26,3.70
USHIGORO S. NISHIAZABU,USHIGORO S.,4.49,Nogizaka,Yakiniku (BBQ Beef),4.48,-,82,4.49,4.51,4.30,4.21,4.13
レ セゾン,Les Saisons,4.48,Hibiya,French,4.43,4.47,353,4.49,4.81,4.69,3.82,4.35
初音鮨,Hatsunezushi,4.48,Kamata,Sushi,4.47,4.25,191,4.48,4.42,4.24,4.34,4.12
かわむら,Kawamura,4.48,Ginza,Steak,4.50,-,78,4.51,3.94,3.96,3.61,3.70
SATOブリアン,SATO Buriand,4.47,Asagaya,Yakiniku (BBQ Beef),4.49,3.72,261,4.47,4.33,3.61,4.36,3.61
すきやばし 次郎,Sukiyabashi Jiro,4.47,Ginza,Sushi,4.33,4.22,220,4.41,4.14,3.75,3.58,3.60
赤坂 詠月,Eigetsu,4.47,Akasaka Mitsuke,Kaiseki (Traditional Japanese),4.46,3.60,195,4.45,4.40,3.72,4.32,4.32
鮨 あらい,Arai,4.47,Shimbashi,Sushi,4.48,4.44,194,4.47,4.29,4.30,4.05,3.89
鮨 尚充,Takamitsu,4.47,Naka Meguro,Sushi,4.46,3.00,106,4.47,4.40,4.23,4.35,4.05
ボニュ,Bon.nu,4.47,Sangubashi,French,4.34,4.39,74,4.49,4.24,4.16,3.89,4.25
ete,été,4.46,Shibuya,French,4.46,4.09,61,4.46,4.24,4.28,3.73,4.09
INUA,INUA,4.46,Iidabashi,"Innovative cuisine, Fusion cuisine",4.28,4.23,44,4.48,4.27,4.20,3.72,4.10
スタミナ苑,Sutaminaen,4.44,Nishiaraidaishi,Horumon (BBQ Offel),4.44,3.33,633,4.45,3.65,3.59,3.84,3.65
TACUBO,TACUBO,4.43,Daikan yama,Italian,4.43,4.16,143,4.43,4.32,4.29,4.41,4.24
鮨 なんば 日比谷,Sushinamba,4.43,Hibiya,Sushi,4.35,4.34,88,4.41,4.29,4.42,4.47,4.19
ロオジエ,L'OSIER,4.42,Ginza,French,4.43,4.37,505,4.40,4.52,4.74,3.93,4.52
ラチュレ,LATURE,4.42,Omote Sando,French,4.43,4.29,186,4.42,4.11,3.88,4.23,4.07
レストラン クレッセント,RESTAURANT CRESCENT,4.42,Daimon,French,4.42,3.91,126,4.38,4.66,4.80,3.68,4.40
麻布 幸村,Yukimura,4.42,Azabu Juban,Kappo (Traditional Japanese),4.42,-,77,4.44,4.11,3.65,3.77,3.77
