Name,Total Rating,Review Count,Price Range,Address Region,Food,Service,Value,Atmosphere,Excellent,Very good,Average,Poor,Terrible
Kobe Beef Steak Moriya Gion,5.0,225,$$$$,Kinki,5.0,4.5,4.0,,92%,7%,1%,0%,0%
Premarche Gelateria,5.0,81,$,Kinki,5.0,5.0,4.5,,94%,6%,0%,0%,0%
Mezopotamia Kebab House,5.0,108,$,Kinki,,,,,,,,,
Botejyu Kyoto,5.0,98,$$ - $$$,Kinki,5.0,4.5,4.5,,90%,9%,1%,0%,0%
Okonomiyaki Katsu,5.0,352,$,Kinki,,,,,,,,,
Premium Pound Gion,5.0,92,$$$$,Kinki,5.0,5.0,4.5,,91%,8%,1%,0%,0%
Yasakadori Enraku,5.0,260,$$ - $$$,Kinki,4.5,5.0,4.5,,89%,8%,1%,1%,1%
"Restaurant Matsukiya, Kyoto Shijo",5.0,360,$$$$,Kinki,5.0,4.0,4.0,,83%,14%,1%,1%,1%
Sushi Naritaya,5.0,277,$$ - $$$,Kinki,,,,,,,,,
Arash's Kitchen,5.0,1034,$$ - $$$,Kinki,4.5,4.5,4.5,,88%,6%,3%,2%,1%
Teppan Tavern Tenamonya,5.0,470,$$ - $$$,Kinki,,,,,,,,,
Hokuto,5.0,203,$$$$,Kinki,,,,,88%,8%,1%,2%,1%
Jiki Miyazawa,5.0,156,$$$$,Kinki,5.0,5.0,4.5,4.5,88%,9%,1%,1%,1%
Premium Pound Sanjo Kiyamachi,4.5,399,$$$$,Kinki,,,,,,,,,
Kikyo Sushi,4.5,308,$$ - $$$,Kinki,5.0,5.0,5.0,,85%,12%,1%,1%,1%
"Chao Chao Gyoza, Shijo Kawaramachi",5.0,119,$$ - $$$,Kinki,4.5,4.5,4.5,,85%,10%,4%,0%,1%
Yakiniku Nikumon Shijo Omiya,4.5,273,$$ - $$$,Kinki,4.5,4.0,4.0,,77%,19%,2%,1%,1%
Tajimaya Shijo Kawaramachi,4.5,305,$$ - $$$,Kinki,,,,,,,,,
Sugarhill Kyoto,4.5,499,$$ - $$$,Kinki,4.5,5.0,4.5,4.5,77%,15%,6%,1%,1%
"Hamburg & Steak Pound, Umekoji",4.5,639,$$ - $$$,Kinki,,,,,,,,,
Tajimaya Aeon Mall Kyoto,4.5,313,$$ - $$$,Kinki,,,,,70%,26%,2%,1%,1%
"Tajimaya, Kyoto Yodobashi",4.5,306,$$ - $$$,Kinki,4.0,4.0,4.0,,69%,26%,3%,1%,1%
Whole Food Cafe Apprivoiser,4.5,154,$$ - $$$,Kinki,4.5,4.5,4.5,,81%,11%,7%,1%,0%
Vermillion - espresso bar & info.,4.5,260,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,78%,16%,4%,1%,1%
Kyoto Cuisine Oagari,4.5,207,$$ - $$$,Kinki,5.0,4.5,4.5,,81%,12%,5%,1%,1%
Teppanyaki Manryu,4.5,166,$,Kinki,4.5,5.0,4.5,,82%,12%,4%,1%,1%
Wadachi,4.5,194,$$ - $$$,Kinki,4.5,5.0,4.5,,78%,14%,5%,2%,1%
STEAK OTSUKA,4.5,499,$$ - $$$,Kinki,5.0,4.5,4.5,4.5,78%,18%,2%,1%,1%
Goichi Pizza,4.5,395,$$ - $$$,Kinki,4.5,5.0,4.5,,71%,22%,5%,1%,1%
Masayoshi Kyoto Dining,5.0,90,$$$$,Kinki,,,,,,,,,
Beer Komachi,4.5,383,$$ - $$$,Kinki,,,,,,,,,
Matsuzakagyu What’s,4.5,317,$$ - $$$,Kinki,,,,,,,,,
Adachi,5.0,103,$$ - $$$,Kinki,4.5,4.5,4.5,,86%,9%,4%,0%,1%
"Kendonya, Handmade Udon Noodle Restaurant",4.5,122,$$ - $$$,Kinki,5.0,4.5,4.5,,70%,26%,4%,0%,0%
"Tajimaya DX, Shijo Karasuma",5.0,64,$$$$,Kinki,,,,,,,,,
Shishin samurai restaurant,4.5,563,$$ - $$$,Kinki,4.5,5.0,4.5,4.5,80%,14%,4%,1%,1%
Arashiyama Kijurou,5.0,76,$$ - $$$,Kinki,,,,,84%,13%,3%,0%,0%
Cafe Du Mon,5.0,92,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,80%,19%,1%,0%,0%
TEPPANYAKI of Kyoto since 1955 (Teppanyakiniku Niyama Kiyamachi),4.5,346,$$ - $$$,Kinki,,,,,,,,,
Tagoto Honten,4.5,132,$$$$,Kinki,,,,,,,,,
Menbakaichidai,4.5,862,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,75%,17%,6%,1%,1%
"Katsukura, Kyoto Station Bldg The Cube",4.5,734,$$ - $$$,Kinki,4.5,4.5,4.5,4.0,57%,35%,6%,1%,1%
Hafuu Honten,4.5,734,$$$$,Kinki,4.5,4.5,4.0,4.0,73%,19%,6%,1%,1%
Agotsuyu Shabu Shabu Yamafuku,4.5,261,$$ - $$$,Kinki,4.5,4.5,4.5,5.0,72%,21%,4%,1%,2%
Shooting Bar M4,5.0,104,$$ - $$$,Kinki,4.5,5.0,4.5,,91%,7%,1%,0%,1%
Kyo Chabana Kyotoekimae,4.5,357,$$ - $$$,Kinki,,,,,,,,,
Chao Chao Sanjo Kiyamachi,4.5,1241,$$ - $$$,Kinki,4.5,4.5,4.5,,73%,20%,5%,1%,1%
Ramen Non,5.0,78,$,Kinki,5.0,5.0,5.0,,86%,11%,2%,1%,0%
Yak & Yeti,4.5,170,$$ - $$$,Kinki,4.5,4.5,4.5,4.0,65%,28%,5%,1%,1%
Shigetsu,4.5,152,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,73%,19%,5%,2%,1%
Kyo Taisanboku,4.5,128,$$ - $$$,Kinki,,,,,,,,,
Pound Kyoto Ekimae,4.5,349,$$ - $$$,Kinki,4.5,4.5,4.5,,71%,21%,5%,2%,1%
